hotel_name,location,county,country,description,price_range,amenities,room_types,rating,nearby_attractions,category,source_url,combined_text
Four Seasons Resort Zanzibar,Unguja North,Zanzibar,Tanzania,Exceptional luxury resort with overwater bungalows on the north coast,600-2000 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Overwater Bungalows|Diving,Suite|Villa|Overwater Bungalow,5.0,Mnemba Atoll|Nungwi|Stone Town,Ultra Luxury,https://www.fourseasons.com,"Hotel: Four Seasons Resort Zanzibar. Location: Unguja North, Tanzania. Category: Ultra Luxury. Description: Exceptional luxury resort with overwater bungalows on the north coast. Price range: 600-2000 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Overwater Bungalows, Diving. Room types: Suite, Villa, Overwater Bungalow. Rating: 5.0 out of 5. Nearby attractions: Mnemba Atoll, Nungwi, Stone Town."
Arusha Hotel,Arusha,Arusha,Tanzania,Historic colonial hotel in central Arusha serving as gateway to safari destinations,60-180 USD,WiFi|Pool|Restaurant|Bar|Conference|Garden,Standard|Deluxe|Suite,4.0,Arusha National Park|Mount Meru|Kilimanjaro,Mid-range,https://www.newarushahotel.com,"Hotel: Arusha Hotel. Location: Arusha, Tanzania. Category: Mid-range. Description: Historic colonial hotel in central Arusha serving as gateway to safari destinations. Price range: 60-180 USD. Amenities: WiFi, Pool, Restaurant, Bar, Conference, Garden. Room types: Standard, Deluxe, Suite. Rating: 4.0 out of 5. Nearby attractions: Arusha National Park, Mount Meru, Kilimanjaro."
Ngurdoto Mountain Lodge,Arusha,Arusha,Tanzania,Peaceful lodge near Arusha with Mount Meru views and beautiful gardens,80-250 USD,WiFi|Pool|Restaurant|Bar|Gym|Tennis|Cultural Tours,Standard|Deluxe|Suite|Cottage,4.3,Arusha National Park|Mount Meru|Ngurdoto Crater,Lodge,https://www.ngurdotomountainlodge.com,"Hotel: Ngurdoto Mountain Lodge. Location: Arusha, Tanzania. Category: Lodge. Description: Peaceful lodge near Arusha with Mount Meru views and beautiful gardens. Price range: 80-250 USD. Amenities: WiFi, Pool, Restaurant, Bar, Gym, Tennis, Cultural Tours. Room types: Standard, Deluxe, Suite, Cottage. Rating: 4.3 out of 5. Nearby attractions: Arusha National Park, Mount Meru, Ngurdoto Crater."
Serena Kilimanjaro,Arusha,Arusha,Tanzania,Luxury hotel near Kilimanjaro Airport perfect for climbers and safari goers,120-350 USD,WiFi|Pool|Restaurant|Bar|Spa|Gym|Conference,Standard|Deluxe|Suite,4.5,Kilimanjaro|Arusha National Park|Maasai Culture,Luxury,https://www.serenahotels.com,"Hotel: Serena Kilimanjaro. Location: Arusha, Tanzania. Category: Luxury. Description: Luxury hotel near Kilimanjaro Airport perfect for climbers and safari goers. Price range: 120-350 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Gym, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.5 out of 5. Nearby attractions: Kilimanjaro, Arusha National Park, Maasai Culture."
Protea Hotel Arusha,Arusha,Arusha,Tanzania,Modern business hotel in Arusha town centre with comfortable rooms,70-180 USD,WiFi|Pool|Restaurant|Bar|Gym|Conference,Standard|Deluxe|Suite,4.1,Arusha CBD|Kilimanjaro|Cultural Heritage Centre,Business,https://www.marriott.com,"Hotel: Protea Hotel Arusha. Location: Arusha, Tanzania. Category: Business. Description: Modern business hotel in Arusha town centre with comfortable rooms. Price range: 70-180 USD. Amenities: WiFi, Pool, Restaurant, Bar, Gym, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.1 out of 5. Nearby attractions: Arusha CBD, Kilimanjaro, Cultural Heritage Centre."
Sheraton Kampala Hotel,Kampala,Kampala,Uganda,Premier luxury hotel in Kampala with panoramic city and Lake Victoria views,150-400 USD,WiFi|Pool|Restaurant|Bar|Spa|Gym|Conference|Tennis,Standard|Deluxe|Suite,4.5,Kampala CBD|Lake Victoria|National Museum,Luxury,https://www.marriott.com,"Hotel: Sheraton Kampala Hotel. Location: Kampala, Uganda. Category: Luxury. Description: Premier luxury hotel in Kampala with panoramic city and Lake Victoria views. Price range: 150-400 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Gym, Conference, Tennis. Room types: Standard, Deluxe, Suite. Rating: 4.5 out of 5. Nearby attractions: Kampala CBD, Lake Victoria, National Museum."
Kampala Serena Hotel,Kampala,Kampala,Uganda,Elegant five star hotel in Kampala with lush gardens and excellent facilities,120-350 USD,WiFi|Pool|Restaurant|Bar|Spa|Gym|Conference,Standard|Deluxe|Suite,4.6,Kampala CBD|Kasubi Tombs|National Museum,Luxury,https://www.serenahotels.com,"Hotel: Kampala Serena Hotel. Location: Kampala, Uganda. Category: Luxury. Description: Elegant five star hotel in Kampala with lush gardens and excellent facilities. Price range: 120-350 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Gym, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.6 out of 5. Nearby attractions: Kampala CBD, Kasubi Tombs, National Museum."
Bwindi Lodge,Bwindi,Kanungu,Uganda,Exclusive lodge overlooking Bwindi Impenetrable Forest for gorilla trekking,400-1000 USD,WiFi|Restaurant|Bar|Gorilla Trekking|Nature Walks|Cultural Visits,Cottage|Suite,4.9,Bwindi Impenetrable Forest|Mountain Gorillas|Batwa Community,Luxury Lodge,https://www.bwindilodge.com,"Hotel: Bwindi Lodge. Location: Bwindi, Uganda. Category: Luxury Lodge. Description: Exclusive lodge overlooking Bwindi Impenetrable Forest for gorilla trekking. Price range: 400-1000 USD. Amenities: WiFi, Restaurant, Bar, Gorilla Trekking, Nature Walks, Cultural Visits. Room types: Cottage, Suite. Rating: 4.9 out of 5. Nearby attractions: Bwindi Impenetrable Forest, Mountain Gorillas, Batwa Community."
Murchison River Lodge,Murchison Falls,Masindi,Uganda,Comfortable lodge near Murchison Falls with Nile River views and game drives,100-300 USD,WiFi|Pool|Restaurant|Bar|Game Drives|Boat Cruises|Fishing,Standard|Suite|Tent,4.4,Murchison Falls|Nile River|Top of the Falls,Lodge,https://www.murchisonriverlodge.com,"Hotel: Murchison River Lodge. Location: Murchison Falls, Uganda. Category: Lodge. Description: Comfortable lodge near Murchison Falls with Nile River views and game drives. Price range: 100-300 USD. Amenities: WiFi, Pool, Restaurant, Bar, Game Drives, Boat Cruises, Fishing. Room types: Standard, Suite, Tent. Rating: 4.4 out of 5. Nearby attractions: Murchison Falls, Nile River, Top of the Falls."
Dar es Salaam Serena Hotel,Dar es Salaam,Dar es Salaam,Tanzania,Luxury hotel in the heart of Dar es Salaam business district,150-400 USD,WiFi|Pool|Restaurant|Bar|Spa|Gym|Conference,Standard|Deluxe|Suite,4.5,Dar es Salaam CBD|National Museum|Kariakoo Market,Luxury,https://www.serenahotels.com,"Hotel: Dar es Salaam Serena Hotel. Location: Dar es Salaam, Tanzania. Category: Luxury. Description: Luxury hotel in the heart of Dar es Salaam business district. Price range: 150-400 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Gym, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.5 out of 5. Nearby attractions: Dar es Salaam CBD, National Museum, Kariakoo Market."
Hyatt Regency Dar es Salaam,Dar es Salaam,Dar es Salaam,Tanzania,Iconic waterfront hotel with stunning Indian Ocean views in Dar es Salaam,200-500 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Gym|Conference,Standard|Deluxe|Suite|Presidential,4.7,Dar es Salaam Waterfront|National Museum|Bongoyo Island,Luxury,https://www.hyatt.com,"Hotel: Hyatt Regency Dar es Salaam. Location: Dar es Salaam, Tanzania. Category: Luxury. Description: Iconic waterfront hotel with stunning Indian Ocean views in Dar es Salaam. Price range: 200-500 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Gym, Conference. Room types: Standard, Deluxe, Suite, Presidential. Rating: 4.7 out of 5. Nearby attractions: Dar es Salaam Waterfront, National Museum, Bongoyo Island."
Southern Sun Dar es Salaam,Dar es Salaam,Dar es Salaam,Tanzania,Well located business hotel in Dar es Salaam with modern amenities,80-220 USD,WiFi|Pool|Restaurant|Bar|Gym|Conference,Standard|Deluxe|Suite,4.2,Dar es Salaam CBD|Slipway|Kariakoo Market,Business,https://www.southernsun.com,"Hotel: Southern Sun Dar es Salaam. Location: Dar es Salaam, Tanzania. Category: Business. Description: Well located business hotel in Dar es Salaam with modern amenities. Price range: 80-220 USD. Amenities: WiFi, Pool, Restaurant, Bar, Gym, Conference. Room types: Standard, Deluxe, Suite. Rating: 4.2 out of 5. Nearby attractions: Dar es Salaam CBD, Slipway, Kariakoo Market."
